N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
""
168,SK네트웍스,"5,650",90,+1.62%,"2,500","14,023","248,188",11.99,"2,338,607",-24.46,-5.85,
169,신세계인터내셔날,"188,500","11,000",+6.20%,"5,000","13,459","7,140",4.79,"153,532",29.85,12.98,
170,SK디스커버리,"69,800","3,400",+5.12%,"5,000","13,288","19,038",9.89,"385,508",4.58,11.52,
""
""
""
171,영진약품,"7,190",80,+1.13%,500,"13,150","182,893",4.29,"497,106","-1,797.50",4.43,
172,메리츠금융지주,"9,680",20,-0.21%,500,"12,972","134,011",8.29,"193,118",2.78,15.26,
173,한전KPS,"28,200",200,+0.71%,200,"12,690","45,000",10.99,"131,442",10.47,14.98,
174,이노션,"63,400",100,-0.16%,500,"12,680","20,000",29.58,"41,288",19.74,9.88,
175,한국콜마,"55,400","1,100",+2.03%,500,"12,676","22,881",28.20,"297,016",39.86,6.39,
""
""
""
176,에스엘,"26,200",650,-2.42%,500,"12,629","48,203",15.67,"483,163",28.14,7.25,
177,효성티앤씨,"287,000","2,000",-0.69%,"5,000","12,420","4,328",18.10,"40,540",14.57,20.86,
178,아시아나항공,"16,650",600,+3.74%,"5,000","12,390","74,412",20.69,"2,059,113",-1.44,-90.67,
179,KBSTAR 200,"44,190",855,+1.97%,0,"12,196","27,600",0.12,"57,322",N/A,N/A,
180,금호타이어,"4,230",85,+2.05%,"5,000","12,151","287,260",5.35,"554,713",-12.12,-3.30,
""
""
""
181,KODEX 코스닥150 레버리지,"16,935",745,+4.60%,0,"12,109","71,500",2.94,"10,227,739",N/A,N/A,
182,더블유게임즈,"65,600",200,+0.31%,500,"12,054","18,375",14.46,"100,489",11.25,18.93,
183,KG동부제철,"11,950",50,+0.42%,"5,000","11,951","100,009",0.15,"123,142",14.50,-7.44,
184,후성,"12,850",250,-1.91%,500,"11,900","92,607",4.54,"1,404,016",-233.64,3.85,
185,DL,"76,700","1,700",+2.27%,"5,000","11,843","15,441",100.00,"2,499,525",4.06,11.74,
""
""
""
186,코오롱인더,"43,600",800,+1.87%,"5,000","11,763","26,979",15.84,"154,283",7.81,1.58,
187,DGB금융지주,"6,940",10,-0.14%,"5,000","11,739","169,146",47.31,"200,456",3.54,7.31,
188,대한전선,"1,370",75,-5.19%,500,"11,734","856,473",1.94,"100,086,604",-76.11,-3.99,
189,롯데관광개발,"16,750",650,+4.04%,500,"11,604","69,276",4.79,"647,601",-24.60,-4.77,
190,보령제약,"21,900",50,+0.23%,500,"11,414","52,120",6.96,"393,338",39.25,11.96,
""
""
""
191,코스맥스,"112,500","2,000",+1.81%,500,"11,306","10,050",24.93,"264,963",27.85,10.45,
192,S&T모티브,"77,300","1,900",-2.40%,"5,000","11,304","14,623",26.71,"118,291",18.14,0.33,
193,롯데칠성,"124,500",500,-0.40%,500,"11,174","8,975",10.66,"14,251",-12.77,-11.68,
194,JB금융지주,"5,600",40,-0.71%,"5,000","11,031","196,983",39.44,"291,977",3.19,10.36,
195,KODEX 인버스,"3,795",70,-1.81%,0,"10,820","285,100",2.19,"39,142,007",N/A,N/A,
""
""
""
196,다우기술,"24,100",200,+0.84%,500,"10,813","44,867",22.70,"224,920",3.87,14.62,
197,LG상사,"27,400",150,-0.54%,"5,000","10,620","38,760",22.46,"223,451",7.47,2.49,
198,한미반도체,"20,500",200,-0.97%,200,"10,558","51,502",5.21,"400,103",23.98,8.85,
199,동원시스템즈,"40,900","4,050",+10.99%,"5,000","10,478","25,619",1.47,"293,624",23.24,8.69,
200,GKL,"16,750",200,+1.21%,500,"10,361","61,856",6.45,"343,092",-77.91,12.62,
""
""
""
